nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
Armonia,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/752,$ 321.400.000,62.0,2,3,2024,1,1,No info
Reserva San Lorenzo,Lotes,Caldas (Manizales),Viterbo,https://www.informeinmobiliario.com/lotes-venta-caldas-manizales-viterbo/proyecto/1506,$ 241.400.000,1207.0,No info,No info,2024,No info,No info,No info
Olivar,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/729,$ 307.960.000,49.0,2,2,Inmediata,1,No info,Si
Olivar,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/729,$ 323.368.000,56.0,2,3,Inmediata,1,1,Si
Solana,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/1214,$ 229.000.000,50.0,2,2,No info,No info,1,No info
Natura Hills,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/1255,$ 423.844.000,69.0,2,3,2025,1,1,No info
Asaí,Apartamentos,Itagüí,Suramérica,https://www.informeinmobiliario.com/apartamentos-venta-itagui-suramerica/proyecto/755,$ 414.552.000,67.0,2,1,2024 - 2025,1,1,Si
Asaí,Apartamentos,Itagüí,Suramérica,https://www.informeinmobiliario.com/apartamentos-venta-itagui-suramerica/proyecto/755,$ 446.160.000,68.0,2,2,2024 - 2025,1,1,Si
Asaí,Apartamentos,Itagüí,Suramérica,https://www.informeinmobiliario.com/apartamentos-venta-itagui-suramerica/proyecto/755,$ 436.104.000,71.0,2,3,2024 - 2025,1,1,Si
Asaí,Apartamentos,Itagüí,Suramérica,https://www.informeinmobiliario.com/apartamentos-venta-itagui-suramerica/proyecto/755,$ 439.668.000,76.0,2,3,2024 - 2025,1,1,Si
Ebano,Apartamentos,Rionegro,San Antonio de Pereira,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-san-antonio-de-pereira/proyecto/750,$ 402.080.900,66.0,2,2,2024,1,No info,Si
Nature Aqua,Apartamentos,Sabaneta,La Doctora,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-la-doctora/proyecto/1145,$ 406.500.000,61.0,2,3,2025,1,1,Si
Fantasía,Apartamentos,La Estrella,La Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-aldea/proyecto/1223,$ 384.412.000,58.0,2,2,2025,1,No info,Si
Fantasía,Apartamentos,La Estrella,La Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-aldea/proyecto/1223,$ 421.700.000,65.0,2,3,2025,1,No info,Si
Fantasía,Apartamentos,La Estrella,La Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-aldea/proyecto/1223,$ 454.504.000,70.0,2,3,2025,1,No info,Si
Fantasía,Apartamentos,La Estrella,La Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-aldea/proyecto/1223,$ 464.184.000,66.0,2,2,2027,1,No info,Si
Fantasía,Apartamentos,La Estrella,La Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-aldea/proyecto/1223,$ 506.872.000,73.0,2,3,2027,1,1,Si
Fantasía,Apartamentos,La Estrella,La Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-aldea/proyecto/1223,$ 541.304.000,78.0,2,3,2027,1,1,Si
Fantasía,Apartamentos,La Estrella,La Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-aldea/proyecto/1223,$ 569.656.000,83.0,2,3,2027,1,1,Si
