nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
Mazzú,Apartamentos,Caldas,V. Primavera,https://www.informeinmobiliario.com/apartamentos-venta-caldas-v-primavera/proyecto/1434,$ 217.700.000,49.0,2,2,No info,No info,No info,No info
Belaví,Apartamentos,Bello,Nortiko,https://www.informeinmobiliario.com/apartamentos-venta-bello-nortiko/proyecto/1288,$ 217.700.000,52.0,2,3,No info,No info,No info,No info
Buenavista,Apartamentos,Sabaneta,María Auxiliadora,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-maria-auxiliadora/proyecto/983,$ 216.212.400,55.0,2,2,No info,No info,1,No info
Pradera Real,Lotes,La Ceja,Nueva Circunvalar Sur,https://www.informeinmobiliario.com/lotes-venta-la-ceja-nueva-circunvalar-sur/proyecto/1316,$ 242.237.000,104.0,No info,No info,No info,No info,No info,No info
Reserva Serrat Semillas,Apartamentos,Medellín,Calasanz,https://www.informeinmobiliario.com/apartamentos-venta-medellin-calasanz/proyecto/1481,$ 243.300.000,50.0,2,2,No info,No info,1,No info
Jardines De La Colombiere,Lotes,La Ceja,,https://www.informeinmobiliario.com/lotes-venta-la-ceja/proyecto/830,$ 235.055.513,91.0,No info,No info,No info,No info,No info,No info
Wayra,Apartamentos,Bello,,https://www.informeinmobiliario.com/apartamentos-venta-bello/proyecto/1421,$ 215.000.000,52.0,2,2,2026,No info,No info,No info
Azul,Apartamentos,Sabaneta,María Auxiliadora,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-maria-auxiliadora/proyecto/1495,$ 245.000.000,55.0,2,2,2027,No info,1,No info
Puerto Madero,Apartamentos,San Antonio de Prado,,https://www.informeinmobiliario.com/apartamentos-venta-san-antonio-de-prado/proyecto/1253,$ 229.900.000,78.0,2,3,No info,No info,1,No info
Portal del Paraíso,Apartamentos,Sabaneta,María Auxiliadora,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-maria-auxiliadora/proyecto/1418,$ 228.019.114,55.0,2,2,No info,No info,1,No info
Cerro Verde,Apartamentos,Bello,Terranova,https://www.informeinmobiliario.com/apartamentos-venta-bello-terranova/proyecto/1290,$ 227.400.000,54.0,2,3,No info,No info,No info,No info
Zinia,Apartamentos,Medellín,Calasanz,https://www.informeinmobiliario.com/apartamentos-venta-medellin-calasanz/proyecto/1452,$ 226.000.000,46.0,2,2,No info,No info,1,No info
Glanz Living,Suites,Rionegro,V. Quirama,https://www.informeinmobiliario.com/suites-venta-rionegro-v-quirama/proyecto/1435,$ 277.500.000,36.0,1,1,No info,1,No info,No info
Almendra,Apartamentos,La Ceja,,https://www.informeinmobiliario.com/apartamentos-venta-la-ceja/proyecto/1414,$ 281.000.000,61.0,2,3,2025,No info,No info,No info
Vibratto,Apartamentos,Copacabana,Machado,https://www.informeinmobiliario.com/apartamentos-venta-copacabana-machado/proyecto/1307,$ 280.900.000,59.0,2,3,No info,1,1,No info
Aki,Apartamentos,Bello,Fabricato,https://www.informeinmobiliario.com/apartamentos-venta-bello-fabricato/proyecto/794,$ 272.542.000,50.0,2,2,No info,No info,No info,No info
Ensenada,Apartamentos,Bello,Amazonía,https://www.informeinmobiliario.com/apartamentos-venta-bello-amazonia/proyecto/705,$ 272.300.000,55.0,2,2,No info,No info,No info,No info
Like Rooms,Suites,Medellín,Centro,https://www.informeinmobiliario.com/suites-venta-medellin-centro/proyecto/1475,$ 263.660.000,28.0,1,1,No info,No info,No info,No info
Organica,Lotes,La Ceja,,https://www.informeinmobiliario.com/lotes-venta-la-ceja/proyecto/1292,$ 260.000.000,75.0,No info,No info,No info,No info,No info,No info
Bora Serravento,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/917,$ 250.000.000,54.0,2,2,No info,1,1,Si
Verona,Apartamentos,La Ceja,,https://www.informeinmobiliario.com/apartamentos-venta-la-ceja/proyecto/1087,$ 299.090.000,47.0,2,1,No info,1,No info,No info
Florida Norteamerica,Apartamentos,Bello,Norte America,https://www.informeinmobiliario.com/apartamentos-venta-bello-norte-america/proyecto/742,$ 298.000.000,58.0,2,3,No info,1,No info,Si
Hacienda Niquia,Apartamentos,Bello,Niquia,https://www.informeinmobiliario.com/apartamentos-venta-bello-niquia/proyecto/709,$ 296.805.106,53.0,2,2,No info,1,No info,Si
Crista medical,Consultorios,Medellín,Estadio,https://www.informeinmobiliario.com/consultorios-venta-medellin-estadio/proyecto/1225,$ 291.290.000,27.0,No info,No info,No info,1,No info,No info
Puerto Ventura,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/779,$ 289.135.000,61.0,2,3,No info,1,1,Si
Fiorenza,Apartamentos,Medellín,Calasanz,https://www.informeinmobiliario.com/apartamentos-venta-medellin-calasanz/proyecto/1000,$ 283.000.000,50.0,2,3,No info,1,No info,No info
Compostela,Lotes,La Ceja,,https://www.informeinmobiliario.com/lotes-venta-la-ceja/proyecto/1352,$ 285.681.000,119.0,No info,No info,No info,No info,No info,No info
Flor De Loto,Apartamentos,Bello,Fabricato,https://www.informeinmobiliario.com/apartamentos-venta-bello-fabricato/proyecto/856,$ 282.504.000,62.0,2,2,No info,No info,1,No info
Bulevar Verde,Apartamentos,Itagüí,Los Gómez,https://www.informeinmobiliario.com/apartamentos-venta-itagui-los-gomez/proyecto/1116,$ 314.600.000,63.0,2,3,No info,1,1,No info
Natura Real,Apartamentos,La Ceja,Nueva Circunvalar Sur,https://www.informeinmobiliario.com/apartamentos-venta-la-ceja-nueva-circunvalar-sur/proyecto/1302,$ 312.236.000,55.0,2,2,No info,1,No info,Si
Tao,Apartamentos,Rionegro,Tranvía,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-tranvia/proyecto/181,$ 302.423.843,53.0,2,2,No info,1,1,No info
Lavore,Apartaestudios,Sabaneta,,https://www.informeinmobiliario.com/apartaestudios-venta-sabaneta/proyecto/1110,$ 345.153.624,44.0,1,1,No info,1,1,No info
Canto Lotes,Lotes,Rionegro,San Antonio de Pereira,https://www.informeinmobiliario.com/lotes-venta-rionegro-san-antonio-de-pereira/proyecto/1248,$ 345.000.000,108.0,No info,No info,No info,No info,No info,No info
Villacastín,Lotes,Rionegro,V. Quirama,https://www.informeinmobiliario.com/lotes-venta-rionegro-v-quirama/proyecto/1220,$ 338.000.000,98.0,No info,No info,No info,No info,No info,No info
Villaterra,Apartamentos,Medellín,Guayabal,https://www.informeinmobiliario.com/apartamentos-venta-medellin-guayabal/proyecto/1088,$ 341.000.000,73.0,2,3,No info,1,1,Si
Esmeralda,Apartamentos,La Ceja,,https://www.informeinmobiliario.com/apartamentos-venta-la-ceja/proyecto/1319,$ 333.810.000,47.0,2,1,No info,No info,No info,No info
Entrepalmeras,Apartamentos,La Estrella,,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella/proyecto/1125,$ 333.542.000,50.0,2,2,2024,1,No info,Si
Pradera La Argentina,Lotes,El Retiro,V. La Argentina,https://www.informeinmobiliario.com/lotes-venta-el-retiro-v-la-argentina/proyecto/1243,$ 332.000.000,89.0,No info,No info,No info,No info,No info,No info
Torres Del Campo,Apartamentos,Rionegro,V. Ojo de Agua,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-ojo-de-agua/proyecto/753,$ 327.500.000,60.0,2,2,No info,1,1,Si
Tirrena,Apartaestudios,Sabaneta,Loma de San Jose,https://www.informeinmobiliario.com/apartaestudios-venta-sabaneta-loma-de-san-jose/proyecto/1513,$ 326.000.000,49.0,No info,1,No info,No info,No info,No info
FaroVerde,Apartamentos,Medellín,Calasanz,https://www.informeinmobiliario.com/apartamentos-venta-medellin-calasanz/proyecto/859,$ 319.985.000,61.0,2,2,No info,1,1,No info
Mistral,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/1328,$ 321.000.000,64.0,3,2,No info,1,No info,Si
Camino Del Viento,Apartamentos,Bello,Amazonía,https://www.informeinmobiliario.com/apartamentos-venta-bello-amazonia/proyecto/999,$ 316.700.000,56.0,2,3,No info,No info,No info,No info
Reserva Serrat Selva,Apartamentos,Medellín,Calasanz,https://www.informeinmobiliario.com/apartamentos-venta-medellin-calasanz/proyecto/769,$ 363.900.000,46.0,1,2,No info,1,No info,No info
Livorno,Apartamentos,Sabaneta,Loma de San Jose,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-loma-de-san-jose/proyecto/913,$ 359.930.000,55.0,2,2,No info,1,No info,Si
Amantina,Apartamentos,Itagüí,Ditaires,https://www.informeinmobiliario.com/apartamentos-venta-itagui-ditaires/proyecto/1174,$ 360.000.000,62.0,2,2,No info,1,1,Si
Amantina,Apartamentos,Itagüí,Ditaires,https://www.informeinmobiliario.com/apartamentos-venta-itagui-ditaires/proyecto/1174,$ 414.100.000,70.0,2,3,No info,1,1,Si
Bahía Oasis Urbano,Apartamentos,Itagüí,Ditaires,https://www.informeinmobiliario.com/apartamentos-venta-itagui-ditaires/proyecto/1056,$ 357.400.000,61.0,2,2,No info,No info,1,No info
Vitha,Consultorios,Medellín,Av. San Juan,https://www.informeinmobiliario.com/consultorios-venta-medellin-av-san-juan/proyecto/1095,$ 364.000.000,29.0,No info,No info,No info,No info,No info,No info
Retiro Silvestre,Lotes,El Retiro,,https://www.informeinmobiliario.com/lotes-venta-el-retiro/proyecto/1489,$ 373.000.000,92.0,No info,No info,No info,No info,No info,No info
Century Tower,Apartamentos,Sabaneta,La Doctora,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-la-doctora/proyecto/989,$ 365.690.000,48.0,1,1,No info,1,No info,No info
Atlantica,Apartamentos,Bello,Fabricato,https://www.informeinmobiliario.com/apartamentos-venta-bello-fabricato/proyecto/1092,$ 375.086.500,60.0,2,2,No info,1,1,Si
Llanoazul,Casas,Girardota,,https://www.informeinmobiliario.com/casas-venta-girardota/proyecto/872,$ 355.000.000,69.0,2,3,No info,1,1,No info
Uno apartamentos,Apartamentos,Rionegro,,https://www.informeinmobiliario.com/apartamentos-venta-rionegro/proyecto/1482,$ 355.000.000,56.0,2,2,No info,1,No info,Si
Kora,Lotes,Rionegro,V. Barro Blanco,https://www.informeinmobiliario.com/lotes-venta-rionegro-v-barro-blanco/proyecto/1097,$ 349.500.000,98.0,No info,No info,No info,No info,No info,No info
Bosque Alto,Apartamentos,Bello,Amazonía,https://www.informeinmobiliario.com/apartamentos-venta-bello-amazonia/proyecto/530,$ 354.362.310,64.0,2,3,No info,1,No info,Si
Ciudadela Del Parque,Apartamentos,Itagüí,Centro de la Moda,https://www.informeinmobiliario.com/apartamentos-venta-itagui-centro-de-la-moda/proyecto/935,$ 349.100.000,65.0,2,3,No info,1,1,No info
Núvica Lotes,Lotes,Rionegro,V. Quirama,https://www.informeinmobiliario.com/lotes-venta-rionegro-v-quirama/proyecto/1218,$ 349.000.000,98.0,No info,No info,No info,No info,No info,No info
Metropolitan Salud,Consultorios,Medellín,El Poblado,https://www.informeinmobiliario.com/consultorios-venta-medellin-el-poblado/proyecto/1282,$ 348.000.000,29.0,No info,No info,No info,1,No info,No info
Altos de Santana,Apartamentos,Rionegro,V. Ojo de Agua,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-ojo-de-agua/proyecto/1148,$ 345.854.000,58.0,2,2,No info,1,No info,No info
Palma - Verdevivo,Apartamentos,Itagüí,Suramérica,https://www.informeinmobiliario.com/apartamentos-venta-itagui-suramerica/proyecto/683,$ 400.590.000,60.0,2,2,No info,1,No info,Si
Céntrika,Apartamentos,Medellín,Centro,https://www.informeinmobiliario.com/apartamentos-venta-medellin-centro/proyecto/1502,$ 400.060.000,71.0,2,2,No info,1,No info,No info
Wood,Apartamentos,El Retiro,V. Pantanillo (El Retiro),https://www.informeinmobiliario.com/apartamentos-venta-el-retiro-v-pantanillo-el-retiro/proyecto/1203,$ 396.500.000,50.0,1,1,No info,1,No info,No info
Nuevo Poblado,Apartamentos,Itagüí,Sector Las Chimeneas,https://www.informeinmobiliario.com/apartamentos-venta-itagui-sector-las-chimeneas/proyecto/1344,$ 394.200.000,61.0,2,3,No info,1,No info,Si
Cambulo,Apartamentos,Rionegro,V. Barro Blanco,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-barro-blanco/proyecto/1038,$ 392.980.000,59.0,2,2,No info,No info,No info,No info
Entrevillas,Apartamentos,Medellín,Guayabal,https://www.informeinmobiliario.com/apartamentos-venta-medellin-guayabal/proyecto/1138,$ 394.000.000,58.0,2,2,No info,1,No info,Si
Yarumo,Apartamentos,Rionegro,V. Barro Blanco,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-barro-blanco/proyecto/1245,$ 393.600.000,53.0,2,1,No info,No info,No info,No info
Ecoh,Apartamentos,Sabaneta,Loma de San Jose,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-loma-de-san-jose/proyecto/868,$ 391.000.000,55.0,2,2,No info,No info,No info,No info
Cattleya,Apartamentos,Sabaneta,V. San José,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-v-san-jose/proyecto/1077,$ 389.300.000,75.0,2,2,No info,1,No info,Si
Reserva Serrat Origen,Apartamentos,Medellín,Calasanz,https://www.informeinmobiliario.com/apartamentos-venta-medellin-calasanz/proyecto/891,$ 389.234.000,62.0,2,3,No info,1,No info,No info
Costa Azul,Apartamentos,La Estrella,Toledo,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-toledo/proyecto/690,$ 385.560.000,57.0,2,2,No info,1,No info,Si
Entre Aires,Apartamentos,Sabaneta,,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta/proyecto/1299,$ 385.000.000,55.0,2,2,2025,1,No info,No info
Reflex Living,Apartamentos,Sabaneta,V. Pan de Azúcar,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-v-pan-de-azucar/proyecto/1173,$ 379.000.000,55.0,2,1,No info,1,1,Si
Milano,Apartamentos,La Ceja,,https://www.informeinmobiliario.com/apartamentos-venta-la-ceja/proyecto/632,$ 379.000.000,66.0,2,3,No info,1,No info,Si
La Cumbre,Apartamentos,Sabaneta,V. Pan de Azúcar,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-v-pan-de-azucar/proyecto/1099,$ 404.000.000,64.0,2,2,No info,1,1,Si
Pacifica,Apartamentos,Itagüí,Ditaires,https://www.informeinmobiliario.com/apartamentos-venta-itagui-ditaires/proyecto/1044,$ 380.900.000,61.0,2,3,No info,No info,No info,No info
Terrah,Apartamentos,Sabaneta,Loma de San Jose,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-loma-de-san-jose/proyecto/1023,$ 455.000.000,72.0,2,2,No info,No info,No info,No info
La Riviere,Apartaestudios,Medellín,Ciudad del Rio,https://www.informeinmobiliario.com/apartaestudios-venta-medellin-ciudad-del-rio/proyecto/701,$ 452.670.000,45.0,2,1,No info,1,No info,Si
Vivante,Lotes,Llanogrande,Sector Gualanday,https://www.informeinmobiliario.com/lotes-venta-llanogrande-sector-gualanday/proyecto/1347,$ 455.000.000,109.0,No info,No info,No info,No info,No info,No info
La Riviere,Apartaestudios,Medellín,Ciudad del Rio,https://www.informeinmobiliario.com/apartaestudios-venta-medellin-ciudad-del-rio/proyecto/701,$ 467.900.000,50.0,2,1,No info,1,No info,Si
La Riviere,Apartaestudios,Medellín,Ciudad del Rio,https://www.informeinmobiliario.com/apartaestudios-venta-medellin-ciudad-del-rio/proyecto/701,$ 609.780.000,62.0,2,2,No info,1,1,Si
Park City,Apartamentos,Rionegro,El Porvenir,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-el-porvenir/proyecto/1453,$ 447.000.000,52.0,2,1,2026,1,No info,No info
Turquesa,Apartaestudios,Medellín,San Germán,https://www.informeinmobiliario.com/apartaestudios-venta-medellin-san-german/proyecto/1359,$ 427.600.000,55.0,2,2,No info,1,No info,Si
Prato,Apartamentos,Sabaneta,Loma de San Jose,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-loma-de-san-jose/proyecto/743,$ 451.448.000,70.0,2,2,No info,1,1,Si
Velvet,Apartamentos,Itagüí,Antigua fábrica Coltejer,https://www.informeinmobiliario.com/apartamentos-venta-itagui-antigua-fabrica-coltejer/proyecto/1326,$ 445.400.000,61.0,2,3,No info,1,1,Si
Zanetti,Apartamentos,Itagüí,Sector Las Chimeneas,https://www.informeinmobiliario.com/apartamentos-venta-itagui-sector-las-chimeneas/proyecto/884,$ 421.200.000,64.0,2,3,No info,No info,No info,No info
Valle del Norte,Casas,Bello,Navarra,https://www.informeinmobiliario.com/casas-venta-bello-navarra/proyecto/1329,$ 412.000.000,58.0,2,2,No info,1,No info,Si
Nido,Apartamentos,Sabaneta,V. Pan de Azúcar,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-v-pan-de-azucar/proyecto/886,$ 410.900.000,62.0,2,2,No info,1,No info,No info
El Rosal,Apartamentos,Medellín,Calasanz,https://www.informeinmobiliario.com/apartamentos-venta-medellin-calasanz/proyecto/221,$ 412.200.000,71.0,2,3,2023,1,1,No info
La Fontana,Lotes,Llanogrande,,https://www.informeinmobiliario.com/lotes-venta-llanogrande/proyecto/1170,$ 402.226.208,117.0,No info,No info,No info,No info,No info,No info
Citadela Di Sole,Apartamentos,Santa Fe de Antioquia,,https://www.informeinmobiliario.com/apartamentos-venta-santa-fe-de-antioquia/proyecto/857,$ 409.011.000,56.0,2,1,No info,1,No info,No info
Vida Park,Apartamentos,Rionegro,Sector Los Colegios,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-sector-los-colegios/proyecto/1483,$ 410.000.000,58.0,2,2,No info,1,No info,Si
Foresta,Apartamentos,Envigado,Las Antillas,https://www.informeinmobiliario.com/apartamentos-venta-envigado-las-antillas/proyecto/874,$ 404.800.000,61.0,2,2,No info,1,No info,Si
Gaita,Apartamentos,Sabaneta,La Doctora,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-la-doctora/proyecto/907,$ 456.000.000,61.0,2,2,No info,1,1,Si
Curubal,Apartamentos,Envigado,El Trianón,https://www.informeinmobiliario.com/apartamentos-venta-envigado-el-trianon/proyecto/1269,$ 484.188.000,67.0,2,3,2024-2025,No info,No info,No info
Curubal,Apartamentos,Envigado,El Trianón,https://www.informeinmobiliario.com/apartamentos-venta-envigado-el-trianon/proyecto/1269,$ 606.804.000,84.0,2,3,2024-2025,No info,No info,No info
Curubal,Apartamentos,Envigado,El Trianón,https://www.informeinmobiliario.com/apartamentos-venta-envigado-el-trianon/proyecto/1269,$ 720.180.000,90.0,2,3,2025,No info,No info,No info
Bilanco de Mayorca,Apartamentos,Envigado,Sector Mayorca,https://www.informeinmobiliario.com/apartamentos-venta-envigado-sector-mayorca/proyecto/1351,$ 482.000.000,63.0,2,3,No info,1,No info,Si
Manzanal,Apartamentos,Envigado,El Trianón,https://www.informeinmobiliario.com/apartamentos-venta-envigado-el-trianon/proyecto/1272,$ 475.128.000,66.0,2,2,2023,No info,No info,No info
Saint Moritz,Apartamentos,El Retiro,,https://www.informeinmobiliario.com/apartamentos-venta-el-retiro/proyecto/1305,$ 476.520.000,50.0,2,1,2026,1,No info,Si
Colonia,Apartamentos,Medellín,Belén Rodeo Alto,https://www.informeinmobiliario.com/apartamentos-venta-medellin-belen-rodeo-alto/proyecto/1470,$ 473.000.000,67.0,2,2,2026,No info,No info,No info
Canto,Apartamentos,Rionegro,San Antonio de Pereira,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-san-antonio-de-pereira/proyecto/1059,$ 472.375.866,58.0,2,2,No info,1,No info,Si
Bosques de la Fontana,Apartamentos,Llanogrande,Sector Gualanday,https://www.informeinmobiliario.com/apartamentos-venta-llanogrande-sector-gualanday/proyecto/1458,$ 469.577.713,57.0,2,2,No info,No info,No info,No info
Maderos Del Retiro,Apartamentos,El Retiro,,https://www.informeinmobiliario.com/apartamentos-venta-el-retiro/proyecto/762,$ 467.000.000,59.0,2,2,2023,1,No info,Si
Reserva Alfar,Lotes,El Carmen de Viboral,V. El Canadá,https://www.informeinmobiliario.com/lotes-venta-el-carmen-de-viboral-v-el-canada/proyecto/1353,$ 466.121.000,1486.0,No info,No info,No info,No info,No info,No info
Verde Campiña,Lotes,La Ceja,Corredor San Antonio - La Ceja (La Ceja),https://www.informeinmobiliario.com/lotes-venta-la-ceja-corredor-san-antonio-la-ceja-la-ceja/proyecto/1130,$ 464.000.000,1500.0,No info,No info,No info,No info,No info,No info
Catalana,Apartamentos,Medellín,Robledo,https://www.informeinmobiliario.com/apartamentos-venta-medellin-robledo/proyecto/1120,$ 463.013.000,67.0,2,3,No info,1,1,Si
Viverdi,Apartamentos,Rionegro,V. Barro Blanco,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-barro-blanco/proyecto/1060,$ 463.301.728,68.0,2,3,No info,1,No info,Si
Nature Bio,Apartamentos,Sabaneta,V. La Doctora,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-v-la-doctora/proyecto/1146,$ 460.400.000,67.0,2,3,No info,1,1,Si
Boske Campestre Aptos,Apartamentos,Rionegro,San Antonio de Pereira,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-san-antonio-de-pereira/proyecto/1246,$ 456.456.000,53.0,2,1,No info,1,No info,No info
Oliva,Apartamentos,Itagüí,Antigua fábrica Coltejer,https://www.informeinmobiliario.com/apartamentos-venta-itagui-antigua-fabrica-coltejer/proyecto/1183,$ 485.304.000,56.0,2,3,No info,No info,No info,No info
Tierra Grata Camino Verde,Apartamentos,Envigado,Camino Verde,https://www.informeinmobiliario.com/apartamentos-venta-envigado-camino-verde/proyecto/818,$ 536.375.160,72.0,2,3,No info,1,1,Si
Tierra Grata Camino Verde,Apartamentos,Envigado,Camino Verde,https://www.informeinmobiliario.com/apartamentos-venta-envigado-camino-verde/proyecto/818,$ 634.396.407,95.0,3,3,No info,1,1,Si
Kosmos,Apartamentos,Sabaneta,Las Vegas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-vegas/proyecto/1467,$ 535.000.000,58.0,2,2,No info,1,1,Si
Verde Silvestre,Apartamentos,Envigado,Camino Verde,https://www.informeinmobiliario.com/apartamentos-venta-envigado-camino-verde/proyecto/1423,$ 523.300.000,69.0,2,3,No info,1,1,Si
Cataluña,Lotes,La Ceja,V. El Tambo,https://www.informeinmobiliario.com/lotes-venta-la-ceja-v-el-tambo/proyecto/1270,$ 528.000.000,1000.0,No info,No info,No info,No info,No info,No info
Allegra,Apartamentos,Rionegro,V. Barro Blanco,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-barro-blanco/proyecto/1382,$ 524.000.000,65.0,2,2,No info,No info,No info,No info
Nuevo Poblado 2,Apartamentos,Itagüí,Sector Las Chimeneas,https://www.informeinmobiliario.com/apartamentos-venta-itagui-sector-las-chimeneas/proyecto/1345,$ 521.100.000,71.0,2,3,No info,1,No info,Si
ArtCity,Apartamentos,Medellín,Ciudad del Rio,https://www.informeinmobiliario.com/apartamentos-venta-medellin-ciudad-del-rio/proyecto/1459,$ 521.000.000,60.0,2,2,No info,1,No info,Si
Distrito Vera,Apartamentos,Medellín,Ciudad del Rio,https://www.informeinmobiliario.com/apartamentos-venta-medellin-ciudad-del-rio/proyecto/828,$ 520.000.000,49.0,2,1,No info,1,No info,Si
Ciudad Del Bosque Menta,Apartamentos,Sabaneta,Asdesillas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-asdesillas/proyecto/727,$ 509.932.150,64.0,2,2,2025,1,1,No info
Civita,Apartamentos,Envigado,Sector Mayorca,https://www.informeinmobiliario.com/apartamentos-venta-envigado-sector-mayorca/proyecto/1064,$ 509.050.000,60.0,2,2,No info,No info,1,No info
Ciudadela Monteazul 2,Apartamentos,Sabaneta,Tres Esquinas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-tres-esquinas/proyecto/806,$ 501.120.000,68.0,2,2,No info,1,1,Si
Ciudadela Monteazul 2,Apartamentos,Sabaneta,Tres Esquinas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-tres-esquinas/proyecto/806,$ 553.910.000,77.0,2,2,No info,1,1,Si
Ciudadela Monteazul 2,Apartamentos,Sabaneta,Tres Esquinas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-tres-esquinas/proyecto/806,$ 574.020.000,83.0,3,2,No info,1,1,Si
Hacienda La Argentina Aptos,Apartamentos,El Retiro,,https://www.informeinmobiliario.com/apartamentos-venta-el-retiro/proyecto/636,$ 504.415.000,53.0,2,1,No info,1,No info,Si
Medieval,Apartamentos,Rionegro,San Antonio de Pereira,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-san-antonio-de-pereira/proyecto/770,$ 493.357.500,60.0,2,2,No info,1,1,Si
La Provincia,Apartamentos,Rionegro,Somer,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-somer/proyecto/791,$ 490.000.000,69.0,2,2,No info,1,1,Si
Tierra Grata Country Life,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/1514,$ 489.090.000,57.0,2,1,No info,1,No info,Si
Jardines del Río,Apartamentos,Medellín,Ciudad del Rio,https://www.informeinmobiliario.com/apartamentos-venta-medellin-ciudad-del-rio/proyecto/1519,$ 557.000.000,56.0,No info,No info,No info,No info,No info,No info
Vivari San Nicolás,Apartamentos,Rionegro,San Nicolas,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-san-nicolas/proyecto/1177,$ 555.230.960,64.0,2,2,No info,1,No info,Si
Prana,Apartamentos,Envigado,Camino Verde,https://www.informeinmobiliario.com/apartamentos-venta-envigado-camino-verde/proyecto/852,$ 642.000.000,79.0,2,2,No info,1,1,Si
Tierra Grata Bruja Magica,Apartamentos,Envigado,Loma de Las Brujas,https://www.informeinmobiliario.com/apartamentos-venta-envigado-loma-de-las-brujas/proyecto/865,$ 638.175.900,80.0,3,2,No info,1,1,Si
La Riviere 2,Apartamentos,Medellín,Ciudad del Rio,https://www.informeinmobiliario.com/apartamentos-venta-medellin-ciudad-del-rio/proyecto/665,$ 633.530.000,73.0,3,2,No info,1,No info,Si
La Riviere 2,Apartamentos,Medellín,Ciudad del Rio,https://www.informeinmobiliario.com/apartamentos-venta-medellin-ciudad-del-rio/proyecto/665,$ 963.590.000,105.0,3,3,No info,1,1,Si
CityM Belen,Apartamentos,Medellín,Belén,https://www.informeinmobiliario.com/apartamentos-venta-medellin-belen/proyecto/1167,$ 639.160.000,72.0,2,3,No info,1,No info,Si
Soul,Apartamentos,Envigado,,https://www.informeinmobiliario.com/apartamentos-venta-envigado/proyecto/1386,$ 610.000.000,74.0,2,2,2026,1,1,Si
El Cortijo,Lotes,La Ceja,Via La Ceja - La Unión,https://www.informeinmobiliario.com/lotes-venta-la-ceja-via-la-ceja-la-union/proyecto/1466,$ 594.000.000,1250.0,No info,No info,No info,No info,No info,No info
Kiva del Rio,Apartamentos,Medellín,Ciudad del Rio,https://www.informeinmobiliario.com/apartamentos-venta-medellin-ciudad-del-rio/proyecto/1387,$ 602.299.747,64.0,2,2,No info,1,No info,Si
Antalya,Apartamentos,Envigado,La Salle,https://www.informeinmobiliario.com/apartamentos-venta-envigado-la-salle/proyecto/655,$ 572.145.988,61.0,2,1,No info,1,No info,Si
Antalya,Apartamentos,Envigado,La Salle,https://www.informeinmobiliario.com/apartamentos-venta-envigado-la-salle/proyecto/655,$ 722.714.000,84.0,2,3,2024,1,1,Si
Seniors Club El Vergel,Apartamentos,Envigado,Loma del Escobero,https://www.informeinmobiliario.com/apartamentos-venta-envigado-loma-del-escobero/proyecto/927,$ 553.492.720,49.0,2,1,No info,1,No info,No info
